student.name,math,physics,chemistry,psychology,history
Paulita,55,75,58,73,58
Kore,76,57,71,93,83
Natka,78,61,79,98,86
Ricky,62,75,51,84,80
Edyth,75,89,50,60,57
June,58,99,64,71,70
Miquela,69,91,98,97,56
Andeee,52,50,92,92,78
Ketti,83,97,90,100,62
Corene,77,57,51,59,77
Robinia,73,95,92,85,61
Viki,77,54,59,86,86
Edyth,69,94,99,76,87
Lanae,91,73,54,82,66
Winifred,71,61,96,95,61
Joane,81,92,62,63,54
Sam,94,69,100,69,80
Natka,53,93,67,69,66
Rubie,60,55,92,60,91
Emma,63,67,74,51,50
Marti,67,57,87,52,85
Dennie,78,66,93,60,65
Juliane,94,99,100,65,62
Jinny,93,57,90,73,62
Taffy,77,97,90,68,94
Hyacinthe,69,60,81,53,99
