student.name,math,physics,chemistry,psychology,history,sex,disabilities,oorigin
Paulita,55,75,58,73,58,m,no,Israel
Kore,76,57,71,93,83,m,no,US
Natka,78,61,79,98,86,m,no,England
Ricky,62,75,51,84,80,m,no,US
Edyth,75,89,50,60,57,m,no,Israel
June,58,99,64,71,70,f,no,US
Miquela,69,91,98,97,56,m,yes,France
Andeee,52,50,92,92,78,m,no,Israel
Ketti,83,97,90,100,62,f,no,Switzerland
Corene,77,57,51,59,77,m,no,US
Robinia,73,95,92,85,61,m,no,Belgium
Viki,77,54,59,86,86,m,no,Israel
Edyth,69,94,99,76,87,m,no,England
Lanae,91,73,54,82,66,m,yes,US
Winifred,71,61,96,95,61,m,no,Israel
Joane,81,92,62,63,54,f,no,other
Sam,94,69,100,69,80,f,no,Israel
Natka,53,93,67,69,66,f,no,US
Rubie,60,55,92,60,91,m,no,US
Emma,63,67,74,51,50,m,no,England
Marti,67,57,87,52,85,m,no,Israel
Dennie,78,66,93,60,65,f,no,Switzerland
Juliane,94,99,100,65,62,f,no,US
Jinny,93,57,90,73,62,m,no,Israel
Taffy,77,97,90,68,94,m,no,US
Hyacinthe,69,60,81,53,99,m,no,Israel
